Name,Description,Details,Volumetric flow rate 0,Volumetric flow rate 1,Volumetric flow rate 2,Volumetric flow rate 3,Volumetric flow rate 4,Volumetric flow rate sum,Volumetric flow rate avg,Inlet Dry bulb temp 0,Inlet Dry bulb temp 1,Inlet Dry bulb temp 2,Inlet Dry bulb temp 3,Inlet Dry bulb temp 4,Inlet Dry bulb temp sum,Inlet Dry bulb temp avg,Inlet Air pressure 0,Inlet Air pressure 1,Inlet Air pressure 2,Inlet Air pressure 3,Inlet Air pressure 4,Inlet Air pressure sum,Inlet Air pressure avg,Inlet Air Relative Humidity 0,Inlet Air Relative Humidity 1,Inlet Air Relative Humidity 2,Inlet Air Relative Humidity 3,Inlet Air Relative Humidity 4,Inlet Air Relative Humidity sum,Inlet Air Relative Humidity avg,Tubes per bank 0,Tubes per bank 1,Tubes per bank 2,Tubes per bank 3,Tubes per bank 4,Tubes per bank sum,Tubes per bank avg,Number of banks 0,Number of banks 1,Number of banks 2,Number of banks 3,Number of banks 4,Number of banks sum,Number of banks avg,Number circuits 0,Number circuits 1,Number circuits 2,Number circuits 3,Number circuits 4,Number circuits sum,Number circuits avg,Length of tube 0,Length of tube 1,Length of tube 2,Length of tube 3,Length of tube 4,Length of tube sum,Length of tube avg,Tube OD 0,Tube OD 1,Tube OD 2,Tube OD 3,Tube OD 4,Tube OD sum,Tube OD avg,Tube ID 0,Tube ID 1,Tube ID 2,Tube ID 3,Tube ID 4,Tube ID sum,Tube ID avg,Tube Long. Pitch 0,Tube Long. Pitch 1,Tube Long. Pitch 2,Tube Long. Pitch 3,Tube Long. Pitch 4,Tube Long. Pitch sum,Tube Long. Pitch avg,Tube Transverse Pitch 0,Tube Transverse Pitch 1,Tube Transverse Pitch 2,Tube Transverse Pitch 3,Tube Transverse Pitch 4,Tube Transverse Pitch sum,Tube Transverse Pitch avg,Outlet superheat 0,Outlet superheat 1,Outlet superheat 2,Outlet superheat 3,Outlet superheat 4,Outlet superheat sum,Outlet superheat avg,Fins per inch 0,Fins per inch 1,Fins per inch 2,Fins per inch 3,Fins per inch 4,Fins per inch sum,Fins per inch avg,Fin waviness pd 0,Fin waviness pd 1,Fin waviness pd 2,Fin waviness pd 3,Fin waviness pd 4,Fin waviness pd sum,Fin waviness pd avg,Fin waviness xf 0,Fin waviness xf 1,Fin waviness xf 2,Fin waviness xf 3,Fin waviness xf 4,Fin waviness xf sum,Fin waviness xf avg,Fin thickness 0,Fin thickness 1,Fin thickness 2,Fin thickness 3,Fin thickness 4,Fin thickness sum,Fin thickness avg,Fin Conductivity 0,Fin Conductivity 1,Fin Conductivity 2,Fin Conductivity 3,Fin Conductivity 4,Fin Conductivity sum,Fin Conductivity avg,Refrigerant flowrate 0,Refrigerant flowrate 1,Refrigerant flowrate 2,Refrigerant flowrate 3,Refrigerant flowrate 4,Refrigerant flowrate sum,Refrigerant flowrate avg,Q Total 0,Q Total 1,Q Total 2,Q Total 3,Q Total 4,Q Total sum,Q Total avg,Q Superheat 0,Q Superheat 1,Q Superheat 2,Q Superheat 3,Q Superheat 4,Q Superheat sum,Q Superheat avg,Q Two-Phase 0,Q Two-Phase 1,Q Two-Phase 2,Q Two-Phase 3,Q Two-Phase 4,Q Two-Phase sum,Q Two-Phase avg,Inlet ref. temp 0,Inlet ref. temp 1,Inlet ref. temp 2,Inlet ref. temp 3,Inlet ref. temp 4,Inlet ref. temp sum,Inlet ref. temp avg,Outlet ref. temp 0,Outlet ref. temp 1,Outlet ref. temp 2,Outlet ref. temp 3,Outlet ref. temp 4,Outlet ref. temp sum,Outlet ref. temp avg,Outlet air temp 0,Outlet air temp 1,Outlet air temp 2,Outlet air temp 3,Outlet air temp 4,Outlet air temp sum,Outlet air temp avg,Pressure Drop Total 0,Pressure Drop Total 1,Pressure Drop Total 2,Pressure Drop Total 3,Pressure Drop Total 4,Pressure Drop Total sum,Pressure Drop Total avg,Pressure Drop Superheat 0,Pressure Drop Superheat 1,Pressure Drop Superheat 2,Pressure Drop Superheat 3,Pressure Drop Superheat 4,Pressure Drop Superheat sum,Pressure Drop Superheat avg,Pressure Drop Two-Phase 0,Pressure Drop Two-Phase 1,Pressure Drop Two-Phase 2,Pressure Drop Two-Phase 3,Pressure Drop Two-Phase 4,Pressure Drop Two-Phase sum,Pressure Drop Two-Phase avg,Charge Total 0,Charge Total 1,Charge Total 2,Charge Total 3,Charge Total 4,Charge Total sum,Charge Total avg,Charge Superheat 0,Charge Superheat 1,Charge Superheat 2,Charge Superheat 3,Charge Superheat 4,Charge Superheat sum,Charge Superheat avg,Charge Two-Phase 0,Charge Two-Phase 1,Charge Two-Phase 2,Charge Two-Phase 3,Charge Two-Phase 4,Charge Two-Phase sum,Charge Two-Phase avg,Mean HTC Superheat 0,Mean HTC Superheat 1,Mean HTC Superheat 2,Mean HTC Superheat 3,Mean HTC Superheat 4,Mean HTC Superheat sum,Mean HTC Superheat avg,Mean HTC Two-phase 0,Mean HTC Two-phase 1,Mean HTC Two-phase 2,Mean HTC Two-phase 3,Mean HTC Two-phase 4,Mean HTC Two-phase sum,Mean HTC Two-phase avg,Wetted Area Fraction Superheat 0,Wetted Area Fraction Superheat 1,Wetted Area Fraction Superheat 2,Wetted Area Fraction Superheat 3,Wetted Area Fraction Superheat 4,Wetted Area Fraction Superheat sum,Wetted Area Fraction Superheat avg,Wetted Area Fraction Two-phase 0,Wetted Area Fraction Two-phase 1,Wetted Area Fraction Two-phase 2,Wetted Area Fraction Two-phase 3,Wetted Area Fraction Two-phase 4,Wetted Area Fraction Two-phase sum,Wetted Area Fraction Two-phase avg,Mean Air HTC 0,Mean Air HTC 1,Mean Air HTC 2,Mean Air HTC 3,Mean Air HTC 4,Mean Air HTC sum,Mean Air HTC avg,Surface Effectiveness 0,Surface Effectiveness 1,Surface Effectiveness 2,Surface Effectiveness 3,Surface Effectiveness 4,Surface Effectiveness sum,Surface Effectiveness avg,Air-side area (fin+tubes) 0,Air-side area (fin+tubes) 1,Air-side area (fin+tubes) 2,Air-side area (fin+tubes) 3,Air-side area (fin+tubes) 4,Air-side area (fin+tubes) sum,Air-side area (fin+tubes) avg,Mass Flow rate dry Air 0,Mass Flow rate dry Air 1,Mass Flow rate dry Air 2,Mass Flow rate dry Air 3,Mass Flow rate dry Air 4,Mass Flow rate dry Air sum,Mass Flow rate dry Air avg,Mass Flow rate humid Air 0,Mass Flow rate humid Air 1,Mass Flow rate humid Air 2,Mass Flow rate humid Air 3,Mass Flow rate humid Air 4,Mass Flow rate humid Air sum,Mass Flow rate humid Air avg,Pressure Drop Air-side 0,Pressure Drop Air-side 1,Pressure Drop Air-side 2,Pressure Drop Air-side 3,Pressure Drop Air-side 4,Pressure Drop Air-side sum,Pressure Drop Air-side avg,Sensible Heat Ratio 0,Sensible Heat Ratio 1,Sensible Heat Ratio 2,Sensible Heat Ratio 3,Sensible Heat Ratio 4,Sensible Heat Ratio sum,Sensible Heat Ratio avg
N/A,N/A,N/A,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,K,K,K,K,K,K,K,kPa,kPa,kPa,kPa,kPa,kPa,kPa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,K,K,K,K,K,K,K,1/in,1/in,1/in,1/in,1/in,1/in,1/in,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,W/m-K,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,W/m^2-K,-,-,-,-,-,-,-,m^2,m^2,m^2,m^2,m^2,m^2,m^2,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,-,-,-,-,-,-,-
MCE-0014,shows application of MCE,This is the sample multi circuited evaporator,0.11326,0.11326,0.11326,0.11326,0.11326,0.5663,0.11326,299.8,299.8,299.8,299.8,299.8,1499.0,299.8,101.325,101.325,101.325,101.325,101.325,506.625,101.325,0.51,0.51,0.51,0.51,0.51,2.55,0.51,6,6,6,7,7,32,6.4,3,3,3,3,3,15,3.0,1,1,1,1,1,5,1.0,0.452,0.452,0.452,0.452,0.452,2.26,0.452,0.009525,0.009525,0.009525,0.009525,0.009525,0.047625,0.009525,0.0089154,0.0089154,0.0089154,0.0089154,0.0089154,0.044577,0.0089154,0.0254,0.0254,0.0254,0.0254,0.0254,0.127,0.0254,0.0219964,0.0219964,0.0219964,0.0219964,0.0219964,0.109982,0.0219964,16.2291988006,16.2291988006,-0.889811868606,-1.04454430812,-0.524261080712,29.9997803438,5.99995606875,14.5,14.5,14.5,14.5,14.5,72.5,14.5,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.00011,0.00011,0.00011,0.00011,0.00011,0.00055,0.00011,237,237,237,237,237,1185,237.0,0.00708,0.00708,0.02124,0.02124,0.01416,0.0708,0.01416,1622.22469809,1622.22469809,2901.34476613,3050.41768996,2920.19051978,12116.402372,2423.28047441,135.628282442,135.628282442,0.0,0.0,0.0,271.256564884,54.2513129768,1486.59641565,1486.59641565,2901.34476613,3050.41768996,2920.19051978,11845.1458072,2369.02916143,281.89239715,281.89239715,281.892281818,281.892281818,281.892310651,1409.46166859,281.892333717,298.229198801,298.229198801,281.110188131,280.955455692,281.475738919,1439.99978034,287.999956069,290.553561732,290.553561732,284.983956765,284.451761585,284.859154379,1435.40199619,287.080399238,-3644.44715072,-3644.44715072,-26383.6217267,-31229.858633,-16227.8035852,-81130.1782463,-16226.0356493,-1096.91655645,-1096.91655645,0.0,0.0,0.0,-2193.8331129,-438.766622581,-2547.53059427,-2547.53059427,-26383.6217267,-31229.858633,-16227.8035852,-78936.3451334,-15787.2690267,0.0821331731125,0.0821331731125,0.167927676637,0.189140055353,0.143252418787,0.664586497002,0.1329172994,0.00734200885397,0.00734200885397,0.0,0.0,0.0,0.0146840177079,0.00293680354159,0.0747911642585,0.0747911642585,0.167927676637,0.189140055353,0.143252418787,0.649902479294,0.129980495859,297.120157016,297.120157016,0.0,0.0,0.0,594.240314032,118.848062806,1880.91485113,1880.91485113,3470.23046855,3439.58625601,2844.20165132,13515.8480781,2703.16961563,0.379502093481,0.379502093481,0.0,0.0,0.0,0.759004186961,0.151800837392,0.620497906519,0.620497906519,1.0,1.0,1.0,4.24099581304,0.848199162608,55.7766130207,55.7766130207,55.7766130207,52.8166907731,52.8166907731,272.963220608,54.5926441217,0.819394378597,0.819394378597,0.819394378597,0.819394378597,0.819394378597,4.09697189298,0.819394378597,10.9835052318,10.9835052318,10.9835052318,12.5422504269,12.5422504269,58.0350165493,11.6070033099,0.131047729645,0.131047729645,0.131047729645,0.131047729645,0.131047729645,0.655238648227,0.131047729645,0.132513801363,0.132513801363,0.132513801363,0.132513801363,0.132513801363,0.662569006815,0.132513801363,17.1390836647,17.1390836647,17.1390836647,14.10823712,14.10823712,79.6337252343,15.9267450469,0.767458982117,0.767458982117,0.687582168958,0.677471350181,0.688899230384,3.58887071376,0.717774142752
